scenario,model,mean_bidirectional_rmse_percent,directional_rmse_std_percent,mean_bidirectional_r2,mean_bidirectional_pearson,zero_lag_correlation,best_lag_correlation,best_lag_seconds,response_to_noise_ratio,quality_label
motor_lr_m1_left,GLM,0.5063918777472952,0.027882064731671406,0.20467878325088706,0.5790537887316141,0.6032061374899333,0.6468189284001912,2.1600000858306885,3.416979454990188,repetibilidad_buena
motor_lr_m1_left,MLP,0.48166173419371744,0.03953959566399427,0.2473088811183203,0.8108974105588571,0.6032061374899333,0.6468189284001912,2.1600000858306885,3.416979454990188,repetibilidad_buena
motor_lr_m1_left,PINN,0.3821102567180721,0.08316889031193936,0.560680753055727,0.8438655878459971,0.6032061374899333,0.6468189284001912,2.1600000858306885,3.416979454990188,repetibilidad_buena
motor_lr_m1_right,GLM,0.5204064173070697,0.043781496490557736,-0.24405985020123216,-0.0573619676784897,0.2316543715350424,0.3069016602413756,2.1600000858306885,2.440306523493353,repetibilidad_moderada
motor_lr_m1_right,MLP,0.589290657906068,0.16957864031159792,-0.8475108385067016,0.5516345094993342,0.2316543715350424,0.3069016602413756,2.1600000858306885,2.440306523493353,repetibilidad_moderada
motor_lr_m1_right,PINN,0.5239781901077627,0.039970984688804875,-0.32534623049449074,0.6209987224057616,0.2316543715350424,0.3069016602413756,2.1600000858306885,2.440306523493353,repetibilidad_moderada
motor_rl_m1_left,GLM,0.5888008449435291,0.04963635843685562,0.27221491558354444,0.6891413736693583,0.7199164676864974,0.7578212495241743,0.7200000286102295,4.522804796488299,repetibilidad_buena
motor_rl_m1_left,MLP,0.5250299374796381,0.1065217903574386,0.40230532002543923,0.750975522513541,0.7199164676864974,0.7578212495241743,0.7200000286102295,4.522804796488299,repetibilidad_buena
motor_rl_m1_left,PINN,0.5196674492445079,0.014830027224638448,0.44352465287000575,0.7649172833556414,0.7199164676864974,0.7578212495241743,0.7200000286102295,4.522804796488299,repetibilidad_buena
motor_rl_m1_right,GLM,0.5994081003776135,0.16263256543347526,-0.0943569593850658,0.6306476182046511,0.7164246639102329,0.7559160032632494,-1.440000057220459,3.343531011190141,repetibilidad_buena
motor_rl_m1_right,MLP,0.6623386339312649,0.08801415911059801,-0.3692523961093097,0.7299520902388181,0.7164246639102329,0.7559160032632494,-1.440000057220459,3.343531011190141,repetibilidad_buena
motor_rl_m1_right,PINN,0.5818058879107713,0.05196302398901625,-0.06891426933685124,0.7862345488139036,0.7164246639102329,0.7559160032632494,-1.440000057220459,3.343531011190141,repetibilidad_buena
