scenario,train_block,test_block,rmse_GLM,rmse_MLP,rmse_PINN,r2_GLM,r2_MLP,r2_PINN,pearson_GLM,pearson_MLP,pearson_PINN,winner_rmse,best_rmse_percent,pinn_improvement_vs_glm_percent,pinn_improvement_vs_mlp_percent
motor_lr_m1_left,1,2,0.5261074747925424,0.4537030179743329,0.4409195430414045,0.3232310034311605,0.4966908254608879,0.5246536012901191,0.6329854706606968,0.8205201872639586,0.818630742853166,PINN,0.4409195430414045,16.19211583806705,2.8175864886249347
motor_lr_m1_left,2,1,0.4866762807020481,0.509620450413102,0.3233009703947396,0.0861265630706136,-0.0020730632242473,0.5967079048213348,0.5251221068025314,0.8012746338537557,0.8691004328388282,PINN,0.3233009703947396,33.569606078117005,36.560440199629056
motor_lr_m1_right,1,2,0.5513646103660381,0.4693804513973427,0.4957144357836052,-0.1120688133688478,0.1940578236560934,0.1010883278363746,-0.2200198501501798,0.54741422379159,0.6656954388613532,MLP,0.4693804513973427,10.093171294669798,-5.610370927861693
motor_lr_m1_right,2,1,0.4894482242481013,0.7092008644147934,0.5522419444319203,-0.3760508870336165,-1.8890795006694967,-0.751780788825356,0.1052959147932004,0.5558547952070785,0.5763020059501701,GLM,0.4894482242481013,-12.829491879408447,22.131800433208692
motor_rl_m1_left,1,2,0.5537026392994224,0.4497076571737615,0.530153862060231,0.4277768491197797,0.6225383779364352,0.475414724680656,0.7879614708370039,0.8114672981964125,0.7667048794209043,MLP,0.4497076571737615,4.252964600094155,-17.88855573241575
motor_rl_m1_left,2,1,0.6238990505876358,0.6003522177855147,0.509181036428785,0.1166529820473092,0.1820722621144433,0.4116345810593556,0.5903212765017127,0.6904837468306696,0.7631296872903784,PINN,0.509181036428785,18.38727179514068,15.186282095038763
motor_rl_m1_right,1,2,0.7144066902373887,0.7245740426788004,0.6185492945443638,-0.2262523999048327,-0.2614045344368514,0.0807418768103173,0.5404681570254922,0.7281318667417112,0.8121870190997241,PINN,0.6185492945443638,13.417762879736276,14.63270030243642
motor_rl_m1_right,2,1,0.4844095105178382,0.6001032251837293,0.5450624812771786,0.0375384811347011,-0.477100257781768,-0.2185704154840198,0.72082707938381,0.7317723137359251,0.7602820785280832,GLM,0.4844095105178382,-12.521011549608474,9.171879369536672
