model,n_experiments,test_rmse_mean,test_rmse_std,test_rmse_median,test_mae_mean,test_r2_mean,test_r2_std,test_pearson_mean,test_pearson_std,train_rmse_mean,train_rmse_std,generalization_gap_mean
PINN,8,0.5018904459952784,0.08824491346809892,0.5196674492445079,0.4153263119538946,0.1524862265235977,0.458328173321591,0.7540040356053259,0.09294351117889962,0.4027000734688733,0.08995612760770233,0.09919037252640511
GLM,8,0.5537518100938769,0.08012754884173094,0.5387360425792902,0.45160378212239394,0.03461922231203339,0.26872239193163006,0.46037020323178346,0.34256469695703995,0.4910331920670158,0.08248677896278962,0.06271861802686107
MLP,8,0.5645802408776721,0.11124471457333883,0.5548618377984156,0.4633056031838955,-0.14178725836806294,0.7936190329848379,0.7108648832026376,0.10837366585655041,0.2713007003067173,0.10000891914256677,0.2932795405709548
