model,gap_mean,gap_std,gap_median,gap_min,gap_max
GLM,0.0627186180268611,0.15638092095764825,0.03658614359522694,-0.1428510929290252,0.3720113125525907
PINN,0.09919037252640517,0.1278289761419396,0.10587781894706394,-0.09047739691781398,0.3208046587008134
MLP,0.2932795405709548,0.14514656932794806,0.23103860869068837,0.0991182410423217,0.555616363260034
