parameter,mean_symmetric_difference_percent,median_symmetric_difference_percent,std_symmetric_difference_percent,maximum_symmetric_difference_percent
alpha,11.16738932000408,10.930918897808116,5.299042778169515,16.951795180088574
epsilon,34.9700945465659,31.56097404933233,17.64944126320234,57.84745463661773
tau,40.47886896574052,37.080829105911235,40.02795448221909,83.92412574522544
