scenario,hrf_rmse_percent,hrf_pearson_r,peak_block1_percent,peak_block2_percent
motor_lr_m1_left,0.0271929217175148,0.9985820260371672,0.34192037437169,0.2509301306351
motor_lr_m1_right,0.007217081190172,0.9999507281982832,0.08840233693422,0.11239501353621
motor_rl_m1_left,0.0496758293212096,0.8985323467157602,0.29953552750214,0.35034361896751
motor_rl_m1_right,0.0870019967771298,0.93654567273836,0.21756860909767,0.49656947599084
