model,n_experiments,test_rmse_mean,test_rmse_std,test_rmse_median,test_mae_mean,test_r2_mean,test_r2_std,test_pearson_mean,train_rmse_mean
PINN,8,0.5018904459952784,0.0882449134680989,0.5196674492445079,0.4153263119538946,0.1524862265235977,0.458328173321591,0.7540040356053259,0.4027000734688733
GLM,8,0.5537518100938769,0.0801275488417309,0.5387360425792902,0.4516037821223939,0.0346192223120333,0.26872239193163,0.4603702032317834,0.4910331920670158
MLP,8,0.5645802408776721,0.1112447145733388,0.5548618377984156,0.4633056031838955,-0.1417872583680629,0.7936190329848379,0.7108648832026376,0.2713007003067173
